Ticker,calendar_qtr_x,public_date,EV/EBITDA,P/E Ratio,P/S Ratio,Net Margin,EBITDA Margin,Return on Assets,Return on Equity,Debt-to-Equity,Interest Coverage,Quick Ratio,Current Ratio,Asset Turnover,Price-to-Book,date,Current Volume,predicted_volume
HPQ,2010Q1,2010-01-31,8.106,14.99,0.967,0.067,0.138,0.138,0.176,1.833,18.467,1.079,1.222,1.004,2.476,2010-01-29,23487700.0,15741100.0
INTC,2010Q1,2010-01-31,7.97,47.317,3.268,0.071,0.357,0.233,0.059,0.275,6679.0,2.196,2.612,0.658,2.745,2010-01-29,96228054.0,50614169.0
TEAM,2010Q1,2010-01-31,7.467,14.959,0.373,0.024,0.06,0.08,0.052,0.557,8.291,1.994,1.994,1.374,0.759,2010-01-29,20478.0,2330.0
AKAM,2010Q1,2010-01-31,9.95,31.266,5.072,0.175,0.403,0.177,0.092,0.191,76.837,6.943,6.943,0.426,2.49,2010-01-29,5206612.0,5107491.0
TISI,2010Q1,2010-01-31,10.916,234.737,0.752,0.033,0.075,0.124,0.102,0.819,7.76,3.012,3.472,1.681,2.04,2010-01-29,171776.0,161161.0
NFLX,2010Q2,2010-04-30,14.116,49.949,3.095,0.069,0.135,0.347,0.424,2.413,28.939,1.651,1.816,2.574,25.955,2010-04-30,1973567.0,2058324.0
ADI,2010Q2,2010-04-30,13.447,26.026,4.161,0.16,0.268,0.184,0.138,0.303,66.758,5.495,6.187,0.646,3.171,2010-04-30,6009900.0,3746900.0
NVDA,2010Q2,2010-04-30,26.111,-130.92,2.702,-0.02,0.1,0.096,-0.026,0.345,40.736,2.741,3.163,0.959,3.351,2010-04-30,26848453.0,27103496.0
VMW,2010Q2,2010-04-30,41.69,125.796,3.268,0.097,0.208,0.094,0.08,0.847,31.747,2.459,2.459,0.455,2.359,2010-04-30,1898900.0,1291500.0
ONNN,2010Q2,2010-04-30,15.311,56.857,1.934,0.034,0.174,0.129,0.073,1.431,2.593,1.452,1.888,0.742,3.425,2010-04-30,14799817.0,18468009.0
AKAM,2010Q2,2010-04-30,13.103,49.782,7.751,0.17,0.403,0.175,0.088,0.201,78.878,2.326,2.326,0.433,3.833,2010-04-30,6109837.0,4281906.0
MU,2010Q2,2010-04-30,4.438,77.917,1.31,0.028,0.383,0.202,0.035,0.934,2.225,1.247,1.746,0.522,1.428,2010-04-30,53975995.0,49252492.0
CSCO,2010Q2,2010-04-30,14.288,25.894,4.337,0.171,0.268,0.145,0.159,0.765,15.568,3.253,3.335,0.511,3.712,2010-04-30,42477298.0,45105896.0
CDNS,2010Q2,2010-04-30,-711.63,-12.849,2.364,-0.176,-0.003,-0.002,-1.425,12.016,-3.157,2.077,2.138,0.552,18.596,2010-04-30,3213670.0,3331404.0
MSFT,2010Q2,2010-04-30,9.138,16.87,4.56,0.277,0.416,0.332,0.427,0.916,544.553,1.819,1.849,0.756,5.992,2010-04-30,64878194.0,44105870.0
INTC,2010Q2,2010-04-30,8.392,29.662,3.618,0.124,0.39,0.264,0.107,0.273,99.299,2.4,2.787,0.677,3.007,2010-04-30,83627317.0,55595224.0
ADBE,2010Q2,2010-04-30,18.073,49.412,5.86,0.118,0.325,0.156,0.073,0.393,67.899,3.945,3.945,0.443,3.368,2010-04-30,12980775.0,9003844.0
LRCX,2010Q2,2010-04-30,54.886,-2.518,4.282,-0.167,0.06,0.034,-0.13,0.351,-0.951,2.793,3.433,0.587,3.237,2010-04-30,2609398.0,1528965.0
DELL,2010Q2,2010-04-30,8.099,22.192,0.599,0.027,0.068,0.12,0.289,4.966,17.306,1.223,1.279,1.759,5.614,2010-04-30,30724882.0,23616383.0
IBM,2010Q2,2010-04-30,8.672,12.887,1.728,0.14,0.237,0.208,0.729,3.811,15.792,1.29,1.359,0.876,7.159,2010-04-30,6266700.0,4992000.0
KLAC,2010Q2,2010-04-30,47.866,-85.15,4.213,-0.048,0.088,0.033,-0.03,0.667,0.301,3.513,4.134,0.375,2.6,2010-04-30,7552756.0,4881831.0
ORCL,2010Q2,2010-04-30,10.983,23.096,5.381,0.234,0.468,0.227,0.218,0.982,12.997,2.237,2.245,0.453,4.515,2010-04-30,25985721.0,19476638.0
TISI,2010Q2,2010-04-30,10.612,276.19,0.734,0.027,0.08,0.135,0.079,0.738,8.768,3.199,3.69,1.686,1.969,2010-04-30,73716.0,50774.0
CRM,2010Q2,2010-04-30,51.773,135.873,8.34,0.062,0.126,0.084,0.094,1.345,57.636,1.879,1.879,0.663,10.431,2010-04-30,1114100.0,1158400.0
AMZN,2010Q2,2010-04-30,37.226,67.206,2.493,0.037,0.066,0.146,0.228,1.628,34.794,1.036,1.33,2.215,11.623,2010-04-30,6546704.0,5923193.0
QCOM,2010Q2,2010-04-30,18.175,31.194,6.003,0.198,0.381,0.16,0.114,0.37,112.633,4.574,4.726,0.398,2.971,2010-04-30,18643549.0,19511811.0
HPQ,2010Q2,2010-04-30,7.391,15.654,1.042,0.069,0.139,0.146,0.194,1.726,18.467,1.052,1.197,1.044,2.928,2010-04-30,15732200.0,11667900.0
ANSS,2010Q2,2010-04-30,16.504,35.402,7.873,0.225,0.483,0.132,0.085,0.463,17.998,1.932,1.932,0.273,2.866,2010-04-30,423817.0,254943.0
INTU,2010Q2,2010-04-30,10.093,28.273,3.569,0.133,0.307,0.209,0.179,0.971,11.828,1.623,1.623,0.667,5.039,2010-04-30,3491719.0,6297698.0
AMD,2010Q2,2010-04-30,20.004,20.156,1.129,0.07,0.114,0.073,-0.671,11.349,-1.169,1.678,1.934,0.645,7.217,2010-04-30,37982100.0,27511400.0
TEAM,2010Q2,2010-04-30,7.051,-3.52,0.327,-0.088,0.067,0.098,-0.202,0.465,6.261,2.364,2.364,1.457,0.827,2010-04-30,166154.0,25878.0
AMD,2010Q3,2010-07-31,13.019,6.402,0.871,0.18,0.136,0.088,-0.671,68.517,-0.415,1.645,1.916,0.731,6.337,2010-07-30,35906100.0,29113400.0
CDNS,2010Q3,2010-07-31,56.18,-18.811,2.168,-0.113,0.045,0.027,-0.897,12.884,-1.698,2.046,2.101,0.61,15.811,2010-07-30,7653345.0,8017026.0
NFLX,2010Q3,2010-07-31,12.324,6.629,3.034,0.071,0.14,0.415,0.457,1.673,19.388,1.367,1.547,2.935,29.98,2010-07-30,4520849.0,3584805.0
NVDA,2010Q3,2010-07-31,13.878,0.499,1.44,0.074,0.155,0.168,0.11,0.388,40.736,2.54,2.923,1.036,1.805,2010-07-30,24691539.0,22995890.0
ORCL,2010Q3,2010-07-31,10.578,19.537,4.43,0.229,0.451,0.222,0.216,0.986,13.048,1.821,1.838,0.492,3.805,2010-07-30,48433931.0,26737041.0
AMZN,2010Q3,2010-07-31,27.292,2.585,1.974,0.038,0.068,0.193,0.273,1.399,48.138,1.085,1.42,2.518,9.397,2010-07-30,7356495.0,5678326.0
QCOM,2010Q3,2010-07-31,17.296,19.429,5.673,0.305,0.399,0.162,0.17,0.363,139.846,4.27,4.408,0.39,2.95,2010-07-30,22348310.0,14775790.0
VMW,2010Q3,2010-07-31,37.545,155.06,3.909,0.094,0.205,0.102,0.082,0.785,45.789,2.661,2.661,0.462,2.811,2010-07-30,2219500.0,2089100.0
AKAM,2010Q3,2010-07-31,11.949,47.95,7.833,0.168,0.405,0.179,0.089,0.192,82.245,3.818,3.818,0.433,3.913,2010-07-30,7133162.0,8862911.0
TISI,2010Q3,2010-07-31,8.385,22.54,0.594,0.027,0.088,0.147,0.075,0.604,8.627,3.037,3.496,1.678,1.548,2010-07-30,95551.0,109304.0
ADI,2010Q3,2010-07-31,11.897,19.546,3.792,0.196,0.305,0.215,0.178,0.345,63.803,5.55,6.131,0.653,3.027,2010-07-30,3132900.0,2730900.0
ONNN,2010Q3,2010-07-31,10.632,19.286,1.5,0.081,0.209,0.178,0.174,1.464,3.957,1.434,1.908,0.82,2.688,2010-07-30,9375245.0,10313346.0
ANSS,2010Q3,2010-07-31,13.892,32.338,7.614,0.238,0.495,0.143,0.095,0.472,23.29,1.813,1.813,0.284,2.801,2010-07-30,390907.0,302692.0
TEAM,2010Q3,2010-07-31,21.998,-2.892,0.35,-0.115,0.023,0.03,-0.227,0.466,5.133,2.119,2.119,1.437,0.859,2010-07-30,11250.0,16321.0
CRM,2010Q3,2010-07-31,47.363,39.899,9.245,0.058,0.125,0.096,0.094,1.115,13.353,1.392,1.392,0.676,11.225,2010-07-30,1372300.0,1647100.0
INTU,2010Q3,2010-07-31,9.918,25.158,3.697,0.153,0.324,0.229,0.213,0.96,13.262,1.664,1.664,0.693,4.365,2010-07-30,3315523.0,3291594.0
IBM,2010Q3,2010-07-31,8.093,12.49,1.671,0.142,0.235,0.218,0.779,4.368,17.481,1.231,1.304,0.919,7.35,2010-07-30,6025800.0,6437400.0
DELL,2010Q3,2010-07-31,8.367,17.653,0.464,0.027,0.069,0.126,0.304,5.093,16.326,1.318,1.375,1.719,4.38,2010-07-30,14201487.0,10459463.0
KLAC,2010Q3,2010-07-31,23.815,75.405,3.445,0.048,0.169,0.071,0.034,0.675,3.047,3.523,4.108,0.417,2.395,2010-07-30,5346564.0,2909798.0
LRCX,2010Q3,2010-07-31,14.507,4.636,3.208,0.071,0.182,0.148,0.078,0.367,194.551,2.717,3.306,0.783,3.231,2010-07-30,2562606.0,1677329.0
HPQ,2010Q3,2010-07-31,7.607,13.08,0.893,0.071,0.14,0.151,0.203,1.721,18.467,1.07,1.219,1.057,2.47,2010-07-30,12608100.0,12805300.0
ADBE,2010Q3,2010-07-31,17.399,39.889,4.632,0.117,0.327,0.157,0.076,0.465,30.039,3.579,3.579,0.446,2.876,2010-07-30,4655834.0,5725031.0
CSCO,2010Q3,2010-07-31,14.337,19.551,3.414,0.183,0.274,0.149,0.176,0.783,14.775,3.086,3.164,0.516,2.94,2010-07-30,42324437.0,43150769.0
INTC,2010Q3,2010-07-31,6.826,18.899,2.996,0.161,0.426,0.323,0.155,0.284,11366.0,2.278,2.636,0.733,2.63,2010-07-30,67578053.0,50436243.0
MSFT,2010Q3,2010-07-31,9.939,13.373,3.751,0.29,0.418,0.321,0.425,0.912,544.553,1.904,1.932,0.729,4.799,2010-07-30,83696662.0,55188814.0
MU,2010Q3,2010-07-31,3.562,5.091,0.993,0.193,0.418,0.261,0.279,0.817,6.324,1.343,1.882,0.589,0.942,2010-07-30,68790600.0,40221932.0
MU,2010Q4,2010-10-31,2.513,4.462,0.97,0.218,0.421,0.273,0.291,0.608,8.995,1.689,2.344,0.649,1.023,2010-10-29,88223889.0,32629347.0
QCOM,2010Q4,2010-10-31,16.034,22.246,6.791,0.316,0.401,0.156,0.167,0.389,134.593,3.414,3.53,0.375,3.661,2010-10-29,16812475.0,11344520.0
TISI,2010Q4,2010-10-31,8.35,257.662,0.824,0.033,0.094,0.163,0.09,0.61,12.682,3.283,3.794,1.745,2.134,2010-10-29,47014.0,114922.0
AMZN,2010Q4,2010-10-31,27.3,3.428,2.587,0.038,0.067,0.181,0.246,1.324,47.548,1.105,1.443,2.428,12.662,2010-10-29,5191337.0,5536774.0
KLAC,2010Q4,2010-10-31,12.293,29.041,3.277,0.117,0.243,0.118,0.096,0.739,6.686,3.153,3.674,0.484,2.656,2010-10-29,4376618.0,3546984.0
HPQ,2010Q4,2010-10-31,7.49,11.71,0.772,0.07,0.14,0.152,0.201,1.756,18.467,1.048,1.199,1.064,2.241,2010-10-29,18187400.0,12897800.0
INTU,2010Q4,2010-10-31,12.041,28.904,4.355,0.156,0.324,0.223,0.2,0.843,14.148,1.88,1.88,0.689,5.334,2010-10-29,2616002.0,2663502.0
NFLX,2010Q4,2010-10-31,14.516,10.039,4.822,0.073,0.144,0.45,0.607,2.331,15.444,1.34,1.575,2.993,28.192,2010-10-29,6146874.0,5147114.0
TEAM,2010Q4,2010-10-31,43.578,-3.212,0.429,-0.127,0.012,0.016,-0.255,0.458,2.76,2.267,2.267,1.488,1.021,2010-10-29,19045.0,8676.0
AMD,2010Q4,2010-10-31,10.083,4.584,0.789,0.209,0.155,0.123,-0.246,14.894,0.614,1.666,1.962,0.895,6.571,2010-10-29,26841300.0,20608700.0
IBM,2010Q4,2010-10-31,8.217,13.598,1.832,0.144,0.235,0.217,0.71,4.003,18.542,1.247,1.321,0.924,8.472,2010-10-29,8444100.0,5676000.0
DELL,2010Q4,2010-10-31,8.264,18.222,0.477,0.027,0.067,0.121,0.294,4.97,15.854,1.275,1.335,1.717,4.509,2010-10-29,25712800.0,18396517.0
LRCX,2010Q4,2010-10-31,9.234,16.897,2.639,0.162,0.244,0.235,0.215,0.407,452.879,2.574,3.144,0.961,3.185,2010-10-29,2049423.0,1982952.0
CRM,2010Q4,2010-10-31,56.917,51.817,10.357,0.051,0.122,0.087,0.077,1.159,7.52,1.424,1.424,0.627,12.153,2010-10-29,1525400.0,1873800.0
ANSS,2010Q4,2010-10-31,14.206,30.782,7.455,0.246,0.498,0.145,0.098,0.441,30.444,1.968,1.968,0.288,2.749,2010-10-29,369487.0,672742.0
NVDA,2010Q4,2010-10-31,12.92,0.733,1.888,0.064,0.155,0.162,0.091,0.362,40.736,2.699,3.138,1.014,2.501,2010-10-29,13931041.0,11924899.0
CSCO,2010Q4,2010-10-31,13.283,17.188,3.184,0.194,0.274,0.147,0.187,0.832,14.774,2.605,2.674,0.537,2.862,2010-10-29,45372726.0,49300515.0
VMW,2010Q4,2010-10-31,39.152,127.433,3.636,0.103,0.219,0.111,0.091,0.778,72.773,2.52,2.52,0.467,2.627,2010-10-29,1944800.0,1998900.0
AKAM,2010Q4,2010-10-31,14.358,63.79,10.135,0.163,0.396,0.179,0.088,0.173,86.016,3.349,3.349,0.441,4.778,2010-10-29,3572259.0,4654166.0
MSFT,2010Q4,2010-10-31,7.703,12.698,3.651,0.3,0.427,0.325,0.436,0.865,159.98,2.101,2.129,0.762,4.916,2010-10-29,114385586.0,62088619.0
ADI,2010Q4,2010-10-31,9.867,17.267,3.916,0.231,0.344,0.247,0.22,0.349,72.677,5.341,5.848,0.677,3.277,2010-10-29,7018900.0,3508400.0
ADBE,2010Q4,2010-10-31,15.134,31.629,4.035,0.133,0.34,0.165,0.093,0.534,21.732,3.303,3.303,0.455,2.776,2010-10-29,6310988.0,5503048.0
INTC,2010Q4,2010-10-31,6.201,12.006,2.726,0.231,0.454,0.356,0.231,0.284,99.299,2.449,2.814,0.754,2.409,2010-10-29,60883562.0,51724937.0
CDNS,2010Q4,2010-10-31,29.011,84.7,2.556,0.028,0.085,0.053,0.24,11.206,-0.294,1.979,2.036,0.597,13.912,2010-10-29,5261242.0,2868753.0
ORCL,2010Q4,2010-10-31,10.265,23.504,5.046,0.217,0.432,0.222,0.222,1.006,13.195,2.061,2.077,0.488,4.551,2010-10-29,35198188.0,21235885.0
ONNN,2010Q4,2010-10-31,8.673,14.204,1.578,0.114,0.233,0.207,0.248,1.345,5.354,1.442,1.922,0.861,2.778,2010-10-29,5075014.0,8540547.0
TISI,2011Q1,2011-01-31,8.248,293.793,1.058,0.037,0.099,0.176,0.1,0.614,15.917,3.165,3.66,1.704,2.581,2011-01-31,97348.0,58948.0
HPQ,2011Q1,2011-01-31,6.481,12.382,0.794,0.07,0.141,0.148,0.194,2.07,30.974,0.966,1.097,1.053,2.191,2011-01-31,21410300.0,14490700.0
GOOG,2011Q1,2011-01-31,15.326,1.219,5.466,0.288,0.408,0.266,0.214,0.168,2076.2,6.763,6.763,0.597,3.479,2011-01-31,3030984.0,2989087.0
AKAM,2011Q1,2011-01-31,17.562,57.524,9.227,0.162,0.39,0.181,0.088,0.152,108.281,3.132,3.132,0.451,4.433,2011-01-31,4683750.0,3552461.0
KLAC,2011Q1,2011-01-31,9.349,21.714,3.412,0.16,0.31,0.177,0.156,0.708,10.705,3.329,3.891,0.56,3.148,2011-01-31,2910176.0,3094164.0
INTC,2011Q1,2011-01-31,5.756,11.6,2.767,0.247,0.468,0.368,0.247,0.275,99.299,2.649,3.03,0.753,2.445,2011-01-31,91004841.0,61125831.0
CRM,2011Q1,2011-01-31,64.812,57.652,10.917,0.048,0.122,0.081,0.069,1.234,5.406,1.438,1.438,0.599,14.021,2011-01-31,2448300.0,2177900.0
NFLX,2011Q1,2011-01-31,18.821,11.541,5.63,0.072,0.145,0.463,0.767,2.908,13.085,1.346,1.658,2.881,30.755,2011-01-31,6077899.0,4327369.0
MU,2011Q1,2011-01-31,2.825,5.921,1.169,0.2,0.399,0.272,0.272,0.642,9.68,1.497,2.125,0.647,1.278,2011-01-31,34490208.0,40784266.0
CDNS,2011Q1,2011-01-31,25.272,13.778,2.556,0.182,0.098,0.06,1.36,8.077,0.061,1.89,1.946,0.583,7.833,2011-01-31,3099947.0,2308252.0
MSFT,2011Q1,2011-01-31,8.157,11.95,3.543,0.313,0.449,0.353,0.46,0.882,169.563,2.105,2.134,0.763,4.906,2011-01-31,65216579.0,63005796.0
CSCO,2011Q1,2011-01-31,12.993,15.551,2.802,0.189,0.277,0.152,0.186,0.817,13.966,2.798,2.874,0.527,2.619,2011-01-31,40485332.0,41021991.0
IBM,2011Q1,2011-01-31,8.293,14.768,2.052,0.147,0.235,0.219,0.68,3.824,19.38,1.232,1.305,0.924,9.05,2011-01-31,7197200.0,5834200.0
ONNN,2011Q1,2011-01-31,7.575,16.493,2.163,0.133,0.244,0.223,0.284,1.242,6.349,1.436,1.928,0.875,3.716,2011-01-31,10866589.0,15434038.0
ORCL,2011Q1,2011-01-31,10.184,24.265,5.058,0.212,0.42,0.224,0.225,1.002,13.514,2.014,2.032,0.505,4.655,2011-01-31,20964967.0,32789514.0
ANSS,2011Q1,2011-01-31,14.488,34.281,8.522,0.251,0.492,0.145,0.099,0.436,38.809,1.999,1.999,0.284,3.096,2011-01-31,458146.0,459123.0
LRCX,2011Q1,2011-01-31,6.961,1.208,2.352,0.2,0.271,0.316,0.322,0.402,703.806,2.575,3.124,1.087,3.267,2011-01-31,1875584.0,2241614.0
QCOM,2011Q1,2011-01-31,18.75,27.617,8.095,0.295,0.359,0.136,0.158,0.466,56.655,2.122,2.219,0.379,4.266,2011-01-31,16379293.0,17232824.0
AMZN,2011Q1,2011-01-31,29.862,3.434,2.486,0.036,0.065,0.171,0.221,1.266,41.861,1.116,1.465,2.349,11.96,2011-01-31,7025455.0,5393700.0
DELL,2011Q1,2011-01-31,7.557,12.654,0.416,0.034,0.071,0.127,0.36,4.785,17.426,1.272,1.335,1.714,3.705,2011-01-31,20020298.0,18093732.0
INTU,2011Q1,2011-01-31,11.885,28.271,4.042,0.153,0.312,0.221,0.211,0.929,14.317,1.719,1.719,0.691,5.43,2011-01-31,2366752.0,2268955.0
AMD,2011Q1,2011-01-31,9.139,4.833,0.822,0.2,0.152,0.141,-0.013,7.108,1.462,1.648,1.976,1.088,8.694,2011-01-31,42749900.0,40250200.0
NVDA,2011Q1,2011-01-31,12.649,1.616,3.868,0.058,0.163,0.163,0.078,0.344,40.736,2.87,3.35,0.968,4.78,2011-01-31,18934207.0,16517240.0
ADBE,2011Q1,2011-01-31,11.963,22.483,4.39,0.204,0.34,0.168,0.148,0.568,17.846,3.011,3.011,0.493,3.15,2011-01-31,5507973.0,4943866.0
VMW,2011Q1,2011-01-31,41.81,122.171,3.795,0.112,0.231,0.118,0.1,0.768,91.555,2.473,2.473,0.474,2.792,2011-01-31,1384300.0,1786500.0
ADI,2011Q1,2011-01-31,10.079,16.665,4.199,0.258,0.376,0.268,0.247,0.353,87.885,4.975,5.407,0.714,3.622,2011-01-31,3630200.0,2860500.0
ANSS,2011Q2,2011-04-30,17.627,33.713,8.748,0.264,0.482,0.138,0.101,0.39,49.057,2.295,2.295,0.287,3.163,2011-04-29,359771.0,286670.0
TSLA,2011Q2,2011-04-30,-19.087,-16.627,22.609,-1.322,-1.167,-0.527,-0.484,0.865,-81.941,2.229,2.757,0.452,12.748,2011-04-29,743630.0,802151.0
KLAC,2011Q2,2011-04-30,7.377,14.682,2.965,0.205,0.344,0.222,0.226,0.711,14.173,3.258,3.836,0.627,2.989,2011-04-29,5726938.0,3200473.0
DELL,2011Q2,2011-04-30,6.549,11.459,0.478,0.043,0.078,0.132,0.393,3.97,19.095,1.423,1.49,1.702,3.783,2011-04-29,61586560.0,16335895.0
VMW,2011Q2,2011-04-30,55.146,113.607,3.943,0.125,0.238,0.115,0.108,0.785,106.044,2.402,2.402,0.482,2.935,2011-04-29,1604300.0,2229700.0
ADI,2011Q2,2011-04-30,9.11,15.327,4.183,0.28,0.391,0.281,0.269,0.358,94.242,5.179,5.625,0.681,3.588,2011-04-29,1933400.0,2576900.0
ONNN,2011Q2,2011-04-30,9.462,16.154,2.018,0.126,0.238,0.206,0.244,1.121,6.528,1.403,1.91,0.867,3.373,2011-04-29,5955004.0,6358384.0
ORCL,2011Q2,2011-04-30,10.168,23.973,5.297,0.224,0.422,0.229,0.242,0.942,14.353,2.287,2.306,0.525,4.923,2011-04-29,94370690.0,30231830.0
INTU,2011Q2,2011-04-30,13.471,33.878,4.752,0.149,0.299,0.209,0.201,0.945,13.85,1.691,1.691,0.692,7.434,2011-04-29,5748301.0,1576694.0
QCOM,2011Q2,2011-04-30,14.542,23.887,8.174,0.337,0.412,0.164,0.19,0.422,70.655,2.609,2.718,0.389,4.192,2011-04-29,32246610.0,12291002.0
AKAM,2011Q2,2011-04-30,22.109,38.256,6.288,0.167,0.388,0.179,0.087,0.08,149.595,5.914,5.914,0.461,2.956,2011-04-29,9879301.0,6395818.0
INTC,2011Q2,2011-04-30,5.718,11.517,2.814,0.263,0.473,0.355,0.248,0.278,119.396,2.986,3.389,0.75,2.437,2011-04-29,156347020.0,72099414.0
AMZN,2011Q2,2011-04-30,39.75,77.395,2.588,0.034,0.06,0.127,0.19,1.738,36.077,1.017,1.325,2.098,12.895,2011-04-29,6857538.0,9862130.0
IBM,2011Q2,2011-04-30,8.858,14.807,2.069,0.149,0.236,0.212,0.638,3.917,20.2,1.126,1.186,0.898,8.82,2011-04-29,5588000.0,5397900.0
HPQ,2011Q2,2011-04-30,6.963,10.272,0.687,0.072,0.141,0.151,0.21,1.857,30.465,1.001,1.147,1.059,1.867,2011-04-29,14448100.0,14269000.0
AMD,2011Q2,2011-04-30,9.899,14.219,0.962,0.073,0.125,0.115,0.235,3.9,2.472,1.769,2.147,0.925,6.167,2011-04-29,11383900.0,10715500.0
TISI,2011Q2,2011-04-30,8.887,231.019,1.029,0.046,0.101,0.174,0.121,0.619,17.355,3.091,3.573,1.638,2.42,2011-04-29,50995.0,76734.0
NVDA,2011Q2,2011-04-30,24.331,46.512,3.388,0.071,0.164,0.143,0.086,0.413,125.566,3.057,3.423,0.877,3.72,2011-04-29,21041598.0,15459159.0
CDNS,2011Q2,2011-04-30,30.727,21.625,2.983,0.135,0.096,0.057,0.657,5.261,0.197,1.205,1.261,0.596,10.091,2011-04-29,3174217.0,5651352.0
CRM,2011Q2,2011-04-30,102.855,282.143,11.117,0.039,0.104,0.062,0.056,1.422,3.373,0.842,0.842,0.597,14.432,2011-04-29,1354600.0,1859100.0
ADBE,2011Q2,2011-04-30,12.052,19.62,4.264,0.222,0.358,0.177,0.168,0.552,17.054,3.277,3.277,0.49,3.052,2011-04-29,5311709.0,3589358.0
MU,2011Q2,2011-04-30,3.206,7.753,1.22,0.162,0.359,0.24,0.204,0.582,8.907,1.513,2.204,0.64,1.34,2011-04-29,36758982.0,21650637.0
MSFT,2011Q2,2011-04-30,7.997,11.03,3.278,0.308,0.437,0.338,0.445,0.895,137.417,2.201,2.233,0.752,4.433,2011-04-29,319563566.0,89976531.0
GOOG,2011Q2,2011-04-30,16.52,20.68,4.689,0.29,0.401,0.239,0.207,0.251,2076.2,4.158,4.158,0.596,2.973,2011-04-29,4412247.0,2337519.0
